Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Antimony pentachloride,SbCl · 007647-18-9,x,x,4,3,x,x,4,1,x,x,x,x,x,x,x,x,2
Antimony trichloride,SbCl · 010025-91-9 · 90 %,1,1,4,1,x,x,4,1,x,x,1,x,x,x,1,1,1
Antimony trichloride,SbCl · 010025-91-9 · anhydrous,x,x,4,1,x,x,4,1,x,x,x,x,x,x,x,1,2
Antimony trichloride,SbCl · 010025-91-9 · aqueous,x,x,4,3,x,x,4,1,x,x,x,x,x,x,1,1,1
Apple juice,— · —,1,1,1,1,1,x,2,1,1,x,x,x,1,1,1,1,1
Arsenic acid,H 3 AsO 4 · 022538-92-7 · aqueous,1,x,3,1,x,x,4,1,1,x,1,3,x,1,1,1,1
Arsenic acid,H 3 AsO 4 · 022538-92-7,1,x,3,1,x,x,4,1,1,x,1,3,x,1,x,1,1
Arsenic pentoxide,As 2 O 5 · 001303-28-2,1,1,3,2,x,x,4,1,x,x,x,x,x,x,x,1,2
Ascorbic acid,C 6 H 8 O 6 · 000050-81-7 · aqueous,1,1,2,2,1,x,2,1,x,x,x,x,x,1,1,1,1
Atropine sulfate,C 34 H 48 N 2 SO 10 -H 2 O · 000055-48-1,1,1,2,1,2,x,1,1,x,x,x,x,1,1,1,1,1
Barium carbonate,BaCO · 000513-77-9 · saturated,1,1,1,1,1,1,1,1,1,x,1,1,1,1,1,1,1
Barium chloride,BaCl · 010361-37-2 · saturated,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Barium chloride,BaCl · 010361-37-2 · aqueous,1,1,1,2,1,x,2,1,x,x,x,x,x,1,1,1,1
Barium dibromide,BaBr · 010553-31-8,1,1,2,2,1,x,2,1,1,x,x,x,1,1,1,1,1
Barium hydroxide,Ba(HO) · 012230-71-6 · saturated,1,1,1,3,x,1,2,1,x,x,1,1,x,x,1,1,1
Barium hydroxide,Ba(HO) · 012230-71-6 · aqueous,1,1,1,3,x,x,2,1,x,x,x,x,x,x,1,1,1
