Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Hydrogen chloride,HCl · 007647-01-0 · 20 %,1,1,4,2,3,1,4,1,1,1,1,x,x,1,1,1,1
Hydrogen chloride (gas),HCl · 007647-01-0 · anhydrous,1,x,4,3,4,x,4,1,x,x,1,x,x,x,1,1,1
Hydrogen cyanide,HCN · 000074-90-8 · techn. pure,1,1,3,4,x,x,4,1,1,x,1,1,x,x,1,1,1
Hydrogen cyanide,HCN · 000074-90-8 · aqueous,1,1,3,4,x,4,4,1,1,x,1,1,x,x,1,1,1
Hydrogen fluoride,HF · 007664-39-3 · anhydrous,x,x,4,4,4,x,4,2,x,4,x,x,x,x,1,1,x
Hydrogen fluoride,HF · 007664-39-3 · 4 %,1,1,4,2,4,1,4,1,2,2,2,x,x,1,1,1,1
Hydrogen fluoride,HF · 007664-39-3 · 50 %,1,1,4,4,4,1,4,1,4,3,2,2,3,1,1,1,1
Hydrogen fluoride,HF · 007664-39-3 · 70 %,x,1,4,4,4,x,4,1,4,4,1,3,x,x,1,1,1
Hydrogen fluoride,HF · 007664-39-3 · 100 %,x,x,4,4,4,x,4,2,x,4,x,x,x,x,1,1,x
Hydrogen peroxide,H 2 O 2 · 007722-84-1 · 30 %,1,1,4,1,1,1,4,1,1,1,1,x,1,1,1,1,1
Hydrogen peroxide,2 2 · 007722-84-1 · 100 %,1,1,4,x,x,x,4,4,4,x,x,x,x,x,1,1,2
Hydrogen peroxide,H O · 007722-84-1 · 90 %,1,1,4,1,x,1,4,1,1,1,1,x,x,1,1,1,1
Hydrogen peroxide,H 2 O 2 · 007722-84-1 · 3 %,1,1,3,1,1,1,1,1,1,1,1,x,1,1,1,1,1
Hydroquinone,C H O · 000123-31-9 · saturated,x,1,4,3,1,x,3,1,4,x,1,x,1,x,1,1,3
Hydroxyaluminium di(acetate),C 4 H 7 AlO 5 · 000139-12-8 · aqueous,1,1,1,1,1,1,1,1,x,x,1,1,x,1,1,1,1
Hydroxylamine disulfate,H N SO · 010039-54-0 · 12 %,1,1,x,2,x,x,3,1,x,x,x,x,x,x,1,1,2
Hydroxylamine disulfate,H N SO · 010039-54-0 · each,1,x,x,2,x,x,3,1,x,x,1,x,x,x,1,1,2
"Hydroxymethyl furfural, 5- (HMF)",C 6 H 6 O 3 · 000067-47-0,x,x,3,3,x,x,2,2,x,x,x,x,4,x,1,1,3
Iodine pentafluoride,JF · 007783-66-6,x,x,4,4,4,x,4,3,x,x,x,x,x,x,x,2,3
"Iodine, tincture of",I · 007553-56-2,1,1,4,3,x,1,1,1,3,x,4,4,3,1,x,1,1
Iodoform,CHJ 3 · 000075-47-8 · 100 %,3,3,3,3,x,x,2,3,3,x,4,4,x,x,1,1,2
Isoamyl alcohol,C H O · 000123-51-3,x,x,2,3,1,x,1,1,1,x,x,x,1,x,1,x,1
Isobutanol,C H O · 000078-83-1,1,1,2,1,2,1,1,1,2,1,1,x,3,1,1,1,1
Isobutyl acetate,C 6 H 12 O 2 · 000110-19-0,x,x,2,4,x,4,1,3,4,x,3,4,x,x,1,1,2
ISO-Fluid,— · — · liquid,x,2,1,3,1,4,1,3,4,x,1,x,1,x,1,1,1
ISO-Fluid A,— · —,x,x,2,3,x,4,2,3,4,x,x,x,x,x,1,1,2
ISO-Fluid B,— · —,x,x,2,3,x,4,2,3,4,x,x,x,x,x,1,1,2
ISO-Fluid C,— · —,x,x,2,3,x,4,2,3,4,x,x,x,x,x,1,1,2
ISO-Fluid D,— · —,x,x,2,3,x,4,2,3,4,x,x,x,x,x,1,1,2
Isopropyl acetate,C H O · 000108-21-4,1,2,1,4,3,2,1,2,4,4,4,4,x,1,1,1,3
Isopropyl alcohol,C 3 H 8 O · 000067-63-0 · techn. pure,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1
Isopropyl chloride,C H Cl · 000075-29-6,x,x,2,4,x,4,2,3,4,x,x,x,x,x,1,1,2
Jam,— · —,1,1,1,1,1,x,2,1,1,x,1,x,1,1,1,1,1
Juices,— · —,1,1,1,1,1,1,1,1,1,x,1,1,x,x,1,1,1
Kerosene,— · 008008-20-6,2,3,1,4,1,2,1,3,4,2,1,x,x,2,1,1,1
Kerosene,— · — · techn. pure,1,3,1,3,1,x,1,1,4,1,1,3,3,x,1,1,1
Lactames,— · —,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,1,x
Lactic acid,C H O · 000050-21-5 · 3 %,1,1,3,1,1,1,2,1,2,1,2,x,1,1,1,1,1
Lactic acid,C H O · 000050-21-5 · 80 %,1,1,3,1,x,1,3,1,1,1,2,2,1,1,1,1,1
Lactic acid,C 3 H 6 O 3 · 000050-21-5 · 85 %,1,1,3,1,x,1,3,1,2,1,2,2,1,1,1,1,1
Lactose,C H O · 000063-42-3 · aqueous,1,1,1,1,1,1,1,1,1,x,1,1,1,1,1,1,1
Lanolin,— · 008006-54-0 · techn. pure,3,3,1,1,1,x,2,3,1,x,3,3,1,x,1,1,1
Lard,— · —,x,x,2,1,1,x,2,2,x,x,x,x,x,x,1,1,1
Latex,— · —,x,x,1,2,2,x,1,1,x,x,x,x,x,x,1,1,1
Laurel,— · — · ground,x,x,2,2,2,x,2,2,1,x,x,x,1,x,1,1,1
Lauryl alcohol,C H O · 000112-53-8 · 100 %,x,x,2,2,1,x,2,1,1,x,1,x,1,x,1,1,1
Lauryl chloride,C 12 H 25 Cl · 000112-52-7 · 100 %,x,x,2,3,x,x,2,3,x,x,x,x,x,x,1,1,1
Lavender oil,— · 008000-28-0,x,x,2,3,x,4,2,3,x,x,x,x,x,x,1,1,2
Lead acetate,C H PbO · 000301-04-2 · aqueous,1,1,3,1,2,1,1,1,1,x,1,1,1,1,1,1,1
Lead acetate,C 4 H 6 PbO 4 · 000301-04-2,1,1,3,1,2,x,1,1,x,x,x,x,x,1,1,1,1
Lead nitrate,Pb(NO 3 ) 2 · 010099-74-8 · aqueous,1,1,3,2,2,x,2,1,x,x,x,x,x,1,1,1,1
Lead nitrate,Pb(NO ) · 010099-74-8,1,1,3,2,2,x,2,1,1,x,x,x,1,1,1,1,1
Lead stearate,C 36 H 70 PbO 4 · 001072-35-1,1,1,2,1,1,x,1,1,1,x,x,x,1,1,1,1,1
Lead sulfate,PbSO 4 · 007446-14-2,1,1,2,1,1,x,1,1,1,x,x,x,1,1,1,1,1
Lead tetraethyl (TEL),C H Pb · 000078-00-2 · techn. pure,1,1,1,3,2,4,2,2,x,x,1,x,x,x,1,1,1
Lemon juice,— · —,1,1,1,1,2,x,1,1,1,x,x,x,x,x,1,1,1
Lemon oil,— · 084929-31-7,x,x,2,3,1,4,2,3,4,x,x,x,3,x,1,1,2
Lemongrass oil,— · 008007-02-1,x,x,2,3,x,4,2,3,4,x,x,x,4,x,1,1,3
Ligroin,— · 008032-32-4,x,x,2,1,2,4,2,3,3,x,x,x,1,x,1,1,1
Lime chloride,[3 x CaCl(OCl) + Ca(—OH) · aqueous,x,x,4,2,3,x,4,2,x,x,x,x,x,x,1,1,1
Lime chloride,[3 x CaCl(OCl) + Ca(—OH),x,x,4,2,3,x,4,1,1,x,x,x,1,x,1,1,1
"Limonene, DL-",C H · 000138-86-3,x,x,1,3,2,4,1,3,x,x,x,x,x,x,1,1,1
Linseed oil,— · 008001-26-1 · techn. pure,1,1,1,1,1,1,1,1,1,x,1,1,1,x,1,1,1
Liqueurs,— · —,1,x,2,1,1,x,2,1,x,x,1,x,x,x,1,1,1
Lithium bromide,LiBr · 007550-35-8,1,1,3,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Lube oils,— · —,1,2,x,1,2,x,2,3,x,x,1,1,x,x,1,1,1
Lysol,— · —,x,x,4,3,x,x,3,1,x,x,x,x,x,x,1,1,2
Machine oil,— · — · 100 %,x,1,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Magnesium carbonate,MgCO · 000546-93-0 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Magnesium chloride,MgCl 2 · 007786-30-3 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Magnesium chlorite,Mg(ClO ) · ??,x,x,x,x,x,x,1,x,x,x,x,x,1,x,x,1,x
Magnesium hydroxide,Mg(HO) · 001309-42-8 · saturated,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Magnesium iodide,MgJ 2 · 010377-58-9,1,1,2,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Magnesium nitrate,Mg(NO 3 ) 2 · 010377-60-3 · saturated,1,1,1,2,1,1,1,1,1,x,1,1,x,1,1,1,1
Magnesiumsulfat,MgSO · 007487-88-9 · each,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maize-germ oil,— · 008001-30-7 · techn. pure,1,x,2,1,1,x,2,1,1,x,3,x,1,x,1,1,1
Maleic acid,C 4 H 4 O 4 · 000110-16-7 · saturated,1,1,4,3,x,x,3,1,x,x,1,1,x,1,1,1,1
Maleic acid,C H O · 000110-16-7 · aqueous,1,1,4,3,x,x,3,1,x,x,x,x,x,1,1,1,1
Margarine,— · —,x,x,2,1,1,x,2,1,1,x,x,x,1,x,1,1,1
Menthol,C 10 H 20 O · 000089-78-1 · solid,1,3,3,3,x,x,2,1,4,x,x,x,x,x,1,1,1
Mercuric chloride,HgCl 2 · 007487-94-7 · aqueous,1,1,4,1,2,1,3,1,1,1,1,1,1,1,1,1,1
Mercuric cyanide,C HgN · 000592-04-1 · saturated,1,1,3,2,2,x,3,1,x,x,1,x,x,1,1,1,1
Mercuric nitrate,Hg(NO 3 ) 2 · 010045-94-0 · saturated,1,1,1,2,2,x,3,1,1,x,1,1,x,1,1,1,1
Mercury,Hg · 007439-97-6 · pure,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
Mesityl oxide,C H O · 000141-79-7,x,x,2,4,4,4,2,3,4,x,x,x,4,x,1,1,x
Methacrylic acid,C 4 H 6 O 2 · 000079-41-4,1,1,4,4,x,x,4,1,x,x,x,x,x,x,1,1,3
Methane,4 · 000074-82-8 · techn. pure,1,x,1,1,1,x,1,1,x,x,1,x,x,x,1,1,1
Methoxy butanol,C 5 H 12 O 2 · — · 100 %,x,1,2,3,x,x,2,1,x,x,x,x,x,x,1,1,2
Methoxyethane,C H O · 000540-67-0 · 100 %,x,3,1,4,x,4,2,3,4,x,x,x,x,x,1,1,2
Methyl acetate,C 3 H 6 O 2 · 000079-20-9 · techn. pure,1,1,1,4,3,4,2,1,4,x,4,4,4,x,1,1,1
Methyl acrylate,4 6 2 · 000096-33-3,x,x,2,4,4,4,2,2,4,x,x,x,x,x,1,1,3
Methyl alcohol,CH O · 000067-56-1,1,1,2,4,1,1,1,1,3,3,1,3,3,1,1,1,1
Methyl amine,CH 5 N · 000074-89-5 · 32 %,1,1,4,4,x,x,1,1,x,x,3,4,x,x,1,1,3
Methyl benzene,C 7 H 8 · 000108-88-3,3,3,1,4,1,3,1,3,4,4,4,4,4,1,1,1,1
Methyl bromide,CH Br · 000074-83-9 · techn. pure,3,4,1,3,x,x,1,4,4,x,4,4,x,x,1,1,1
Methyl butanol,C H O · —,x,x,2,2,1,x,1,1,x,x,x,x,1,x,1,1,1
Methyl butyl ketone,C 6 H 12 O · 000591-78-6,x,x,2,4,4,4,2,3,4,x,x,x,x,x,1,1,3
Methyl chloride,CH Cl · 000074-87-3 · techn. pure,3,2,4,3,x,x,1,4,4,4,4,4,4,x,1,1,1
Methyl dichloroacetate,C 3 H 4 Cl 2 O 2 · 000116-54-1,1,x,3,4,x,4,3,1,x,x,4,x,x,x,1,1,3
Methyl ethyl ketone (MEK),C 4 H 8 O · 000078-93-3,1,3,1,4,4,4,1,1,4,4,4,4,4,2,1,1,3
Methyl formate,C H O · 000107-31-3,x,x,2,4,x,4,2,2,x,x,x,x,x,x,1,1,3
Methyl isobutyl ketone,C 6 H 12 O · 000108-10-1,1,2,1,4,4,3,2,2,4,4,4,4,4,2,1,1,3
Methyl isopropyl ketone,C 5 H 10 O · 000563-80-4,x,x,2,4,4,4,2,3,4,x,x,x,4,x,1,1,3
Methyl methacrylate,C 5 H 8 O 2 · 000080-62-6 · 100 %,x,x,2,4,4,4,2,2,4,x,4,4,x,x,1,1,3
Methyl propyl ketone,C 5 H 10 O · 000107-87-9,1,2,2,4,4,3,2,2,4,4,4,x,4,1,1,1,2
Methyl salicylate,C H O · 000119-36-8,x,x,3,3,x,x,3,1,4,x,x,x,4,x,1,1,3
Methyl sulfuric acid,CH SO · 000077-78-1 · 50 %,x,1,4,4,4,x,4,2,x,x,1,x,x,x,1,1,2
Methyl sulfuric acid,CH 4 SO 4 · 000077-78-1 · aqueous,x,x,4,4,4,x,4,2,x,x,x,x,x,x,1,1,2
Methylchloroacetate,C H ClO · 000096-34-4 · techn. pure,1,x,3,4,4,4,3,1,4,x,3,x,x,x,1,1,1
Methylcyclohexane,C 7 H 14 · 000108-87-2,3,3,2,2,1,4,2,3,x,x,x,x,1,x,1,1,1
Methylcyclopentane,C 6 H 12 · 000096-37-7,x,x,2,2,1,4,2,3,x,x,x,x,x,x,1,1,1
Methylene chloride,CH Cl · 000075-09-2,4,4,3,4,4,3,3,3,4,4,4,4,4,2,1,1,1
Methylglycol acetate,C H O · 000110-49-6,x,x,1,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Milk,— · —,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mineral oil,— · 008012-95-1,1,2,1,1,1,1,1,1,1,1,1,x,x,1,1,1,1
Mineral water,— · —,1,1,1,1,1,x,1,1,x,x,1,x,x,1,1,1,1
Molasses wort,— · —,1,1,1,2,2,x,2,1,x,x,1,x,x,1,1,1,1
Monochloroethane,C H Cl · 000075-00-3,3,3,1,4,x,3,1,3,4,4,4,4,4,1,1,1,1
Morpholine,C H NO · 000110-91-8 · techn. pure,1,1,3,3,x,x,2,1,x,x,4,4,x,x,1,1,1
Motor oil,— · —,x,x,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Mowilith D,— · —,1,x,2,x,2,x,2,1,x,x,1,x,x,x,1,1,1
Muscat,— · — · ground,x,x,2,4,2,x,2,2,4,x,x,x,3,x,1,1,2
Mustard,— · —,x,x,2,1,1,x,1,1,1,x,x,x,1,x,1,1,1
Naphtha,— · 008032-32-4,1,3,1,2,1,1,1,1,3,1,1,4,x,x,1,1,1
Naphthalene,C H · 000091-20-3 · 100 %,x,1,1,3,x,x,1,1,3,1,4,4,1,x,1,1,1
Naphthalene (in alcohol),— · —,1,1,2,3,x,x,1,1,3,x,x,x,3,x,1,1,2
Neon,Ne · 007440-01-9,x,x,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Nickel acetate,C 4 H 6 NiO 4 · 000373-02-4 · aqueous,1,1,3,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Nickel dichloride,NiCl · 007718-54-9 · saturated,1,1,1,2,1,x,2,1,x,x,1,1,x,x,1,1,1
Nickel dichloride,NiCl 2 · 007718-54-9 · aqueous,1,1,3,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Nickel sulfate,NiSO 4 · 007786-81-4 · saturated,1,1,1,1,1,1,2,1,1,x,1,1,1,x,1,1,1
Nickel sulfate,NiSO · 007786-81-4 · aqueous,1,1,3,1,1,x,2,1,x,x,x,x,x,x,1,1,1
Nickelous nitrate,Ni(NO ) · 013138-45-9 · saturated,1,1,3,2,1,1,2,1,1,1,1,1,x,x,1,1,1
Nicotine,C 10 H 14 N 2 · 000054-11-5,1,1,3,3,x,x,2,1,1,x,1,x,x,x,1,1,2
Nicotinic acid,6 5 2 · 000059-67-6 · diluted,1,1,3,2,x,x,3,1,x,x,1,x,x,x,1,1,2
Nitric acid,HNO · 007697-37-2 · 1-10 %,1,1,4,1,2,1,4,1,2,1,1,x,1,1,1,1,1
Nitric acid,HNO 3 · 007697-37-2 · 50 %,2,3,4,4,2,2,4,3,4,2,2,x,x,1,1,1,1
Nitric acid,HNO 3 · 007697-37-2 · 66 %,2,3,4,4,4,2,4,4,4,4,3,x,x,1,1,1,1
Nitric acid,HNO · 007697-37-2 · 100 %,4,4,4,4,4,x,4,4,x,x,4,x,4,x,x,1,4
Nitric acid,HNO · 007697-37-2 · 70 %,2,3,4,4,4,2,4,4,4,4,3,x,x,1,1,1,1
Nitro benzoic acid,C 7 H 5 NO 4 · —,1,1,3,3,x,x,3,1,x,x,1,x,x,x,1,1,2
Nitro reducer,— · —,x,x,3,4,x,4,3,3,4,x,x,x,x,x,1,1,3
Nitrobenzene,C H NO · 000098-95-3,3,4,4,4,1,4,3,2,4,4,4,4,4,1,1,1,1
Nitroethane,C H NO · 000079-24-3,x,x,3,4,x,x,3,2,x,x,x,x,x,x,1,1,3
Nitrogen,N 2 · 007727-37-9,x,x,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Nitrogen tetroxide,N O · 010544-72-6,x,x,3,3,1,x,4,1,x,x,x,x,x,x,x,1,2
Nitroglycerine,C 3 H 5 (NO 3 ) 3 · 000055-63-0 · diluted,x,x,3,3,x,x,2,2,x,x,3,4,x,x,1,1,3
Nitrohydrochloric acid,HNO 3 + HCl · 008007-56-5,4,4,4,4,4,3,4,4,4,4,4,4,3,1,2,1,3
Nitropropane,C H NO · —,x,x,3,4,x,x,3,2,x,x,x,x,x,x,1,1,3
Nitrose gases,— · — · diluted,1,x,3,4,x,x,4,1,x,x,1,x,x,x,1,1,1
Nitrotoluene,C 7 H 7 NO 2 · 001321-12-6 · techn. pure,1,1,4,4,1,4,3,1,4,x,4,4,x,x,1,1,1
Nitrous oxide,N O · 010024-97-2,x,x,2,2,1,x,2,2,x,x,x,x,x,x,1,1,1
Nonyl alcohol,C 9 H 20 O · 000143-08-8 · 100 %,x,1,2,2,1,x,1,1,1,x,x,x,1,x,1,1,1
Nutmeg oil,— · 008008-45-5,x,x,2,4,x,x,2,2,4,x,x,x,3,x,1,1,2
Octafluoropropane,C 3 F 8 · 000076-19-7,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Octane,C 8 H 18 · 000111-65-9,1,1,1,2,1,1,1,1,4,2,3,3,1,1,1,1,1
Octyl cresol ?,C H O · — · 100 %,3,3,3,4,x,x,3,3,x,x,x,x,x,x,1,1,2
"Oils and fats, vegetable",— · —,1,1,2,2,1,x,2,1,3,x,1,3,x,x,1,1,1
"Oils, essential",— · —,4,3,2,3,x,x,2,3,x,x,x,x,x,x,1,1,3
Oleic acid,C H O · 000112-80-1 · techn. pure,1,1,1,1,1,x,2,1,1,x,1,x,1,x,1,1,1
Oleic acid methyl ester,C 19 H 36 O 2 · 000112-62-9,x,x,2,3,2,4,2,2,x,x,x,x,x,x,1,1,1
Oleum,H 2 SO 4 x SO 3 · 008014-95-7 · 10 % SO 3,4,4,4,4,4,4,4,4,4,4,4,4,x,x,1,1,4
Oleum steams,— · — · small,4,x,4,3,x,x,4,4,x,x,1,x,x,x,1,1,1
Olive oil,— · 008001-25-0,1,x,2,2,1,x,1,1,1,x,1,x,1,x,1,1,1
Orange juice,— · —,1,1,1,1,1,x,2,1,1,x,x,x,1,1,1,1,1
Orange oil,— · 008028-48-6,3,3,1,3,x,4,1,3,4,x,x,x,x,x,1,1,3
"Orange oil, bitter",— · 068916-04-1,2,3,2,3,1,3,2,2,4,3,3,x,x,1,1,1,2
Oxalic acid,C 2 H 2 O 4 x 2H 2 O · 000144-62-7 · aqueous,1,1,4,2,2,x,4,1,x,x,x,x,x,1,1,1,2
Oxygen,O · 007782-44-7 · techn. pure,1,1,2,1,1,x,1,1,1,x,1,1,x,x,1,1,1
Ozone,O 3 · 010028-15-6,3,3,4,1,x,1,4,3,2,1,1,x,1,1,1,1,1
Ozone-air-mixture,— · —,x,x,4,2,x,x,4,3,x,x,x,x,x,1,1,1,2
Palm kernel oil,— · 008023-79-8,x,x,1,2,1,x,2,1,1,x,x,x,x,x,1,1,1
Palm oil,— · 008002-75-3,1,x,1,2,1,x,2,1,x,x,1,x,1,x,1,1,1
Palmitic acid,C 16 H 32 O 2 · 000057-10-3 · techn. pure,3,2,1,2,1,x,1,3,1,x,1,3,1,x,1,1,1
Paraffin wax,— · 008002-74-2 · melted,x,x,x,2,x,x,2,2,x,x,x,x,x,x,1,1,x
Paraffin-emulsion,— · —,1,x,1,2,2,x,2,1,x,x,1,x,x,x,1,1,1
Paraffins,C n H 2n+2 · — · 100 %,1,1,1,1,1,1,1,1,1,1,1,1,x,x,1,1,1
Paraformaldehyde,(CH O) H O · 030525-89-4,x,x,x,2,1,x,2,1,x,x,x,x,x,x,1,1,2
Peanut oil,— · 008002-03-7,x,x,x,2,1,x,2,1,1,x,x,x,1,x,1,1,1
Pectin,— · 009000-69-5 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pectin,— · 009000-69-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Penicillin,— · —,1,1,2,1,1,x,1,2,x,x,x,x,1,1,1,1,1
Pentachlorbiphenyl,C 12 H 5 Cl 5 · —,x,x,1,3,x,x,2,4,x,x,x,x,x,x,x,1,2
"Pentane, normal",C H · 000109-66-0,1,1,1,1,1,3,1,3,3,x,x,x,1,x,1,1,1
"Pentanethiol, 1-",C 5 H 12 S · 000110-66-7,x,x,2,3,x,4,2,2,x,x,x,x,4,x,1,1,2
"Pentanol, 1-",5 12 · 000071-41-0,1,1,1,1,1,2,1,1,1,3,2,3,x,1,1,1,1
"Pentanone, 3-",C H O · 000096-22-0,2,2,3,4,4,2,1,2,4,4,4,x,4,2,1,1,3
Pepper,— · — · ground,x,x,2,1,1,x,2,2,4,x,x,x,x,x,1,1,1
Perchloric acid,HClO · 007601-90-3 · 70 %,2,3,4,4,4,2,4,4,2,4,3,4,x,1,1,1,1
Perchloric acid,HClO · 007601-90-3 · 20 %,x,1,4,3,x,x,4,1,x,x,1,3,x,x,1,1,1
Perchlorobutadiene,C 4 Cl 6 · 000087-68-3,x,x,3,4,x,4,1,3,4,x,x,x,x,x,1,2,3
Perfluorocyclobutane,C F · 000115-25-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Perfumes,— · —,3,3,1,3,1,x,2,1,4,x,1,3,x,x,1,1,1
Petroleum,— · 008002-05-9,x,x,1,3,1,x,1,1,x,x,x,x,x,x,1,1,1
Petroleum ether,— · 008032-32-4 · techn. pure,1,1,1,3,1,1,1,1,4,1,1,3,3,x,1,1,1
Phenacetin,C 10 H 13 NO 2 · 000062-44-2,x,x,x,x,x,x,2,2,x,x,x,x,1,x,1,1,1
Phenethyl alcohol,C H O · 000060-12-8,x,x,3,4,x,x,2,1,x,x,x,x,4,x,1,1,2
Phenol,C 6 H 6 O · 000108-95-2 · 10 %,1,1,4,4,4,1,4,1,4,4,1,3,3,x,1,1,1
Phenol,C 6 H 6 O · 000108-95-2 · 100 %,2,3,4,4,4,1,4,1,4,3,4,3,4,1,1,1,1
Phenolic resin mass,— · —,1,1,3,3,x,x,3,1,x,x,x,x,x,x,1,1,1
Phenylhydrazine,C H N · 000100-63-0 · techn. pure,3,x,3,3,x,x,2,3,x,x,4,x,x,x,1,1,1
Phenylhydrazine hydrochloride,C 6 H 8 N 2 -HCl · 000059-88-1,x,x,3,2,x,x,3,1,x,x,3,x,x,x,1,1,1
Phenylsulfonate,— · 070528-83-5,x,1,x,x,x,x,x,1,x,x,x,x,x,x,1,1,x
Phosgene,COCl · 000075-44-5 · liquid,x,x,1,3,x,x,2,x,x,x,x,x,x,x,1,1,3
Phosgene,COCl 2 · 000075-44-5 · gaseous,x,3,1,3,x,x,2,3,x,x,4,x,x,x,1,1,3
Phosphates,— · — · aqueous,1,1,x,x,1,x,2,3,x,x,x,x,x,x,1,1,1
Phosphine,PH · 007803-51-2 · concentrated,x,x,1,3,x,x,1,3,x,x,1,x,x,x,x,1,1
Phosphoric acid,H PO · 007664-38-2 · 30 %,1,1,4,1,x,x,4,1,1,x,x,x,1,x,1,1,1
Phosphoric acid,H 3 PO 4 · 007664-38-2 · 85 %,1,1,4,1,x,1,4,1,1,1,1,1,1,1,1,1,1
Phosphoric acid,H 3 PO 4 · 007664-38-2 · 1-5 %,1,1,3,1,1,1,3,1,2,1,1,x,1,1,1,1,1
Phosphoric acid,H PO · 007664-38-2 · 20%,1,1,4,2,x,x,4,1,x,x,x,x,x,x,1,1,1
Phosphorus oxychloride,PCl 3 O · 010025-87-3 · 100 %,x,1,4,4,x,x,4,1,x,x,4,4,x,x,x,1,2
Phosphorus oxychloride,PCl 3 O · 010025-87-3,x,1,4,4,x,x,4,1,x,x,4,4,x,x,x,1,2
Phosphorus pentachloride,PCl · 010026-13-8,x,1,4,4,x,x,4,1,x,x,4,4,x,x,x,1,1
Phosphorus pentoxide,P O · 001314-56-3 · techn. pure,1,x,4,3,x,x,4,1,x,x,1,x,x,x,1,1,1
Phosphorus trichloride,PCl 3 · 007719-12-2,3,3,4,4,x,x,4,1,x,x,4,4,x,x,1,1,1
Phthalic acid,8 6 4 · 000088-99-3 · saturated,1,1,3,3,1,x,1,1,1,x,1,x,1,x,1,1,1
Phthalsäuremonoamylester ?,C H O · ??,x,x,3,3,x,x,3,2,x,x,x,x,4,x,1,1,2
Picric acid,C 6 H 3 N 3 O 7 · 000088-89-1 · 1 % aqueous,1,1,3,3,x,x,3,1,x,x,1,4,x,x,1,1,1
Pine oil,— · 008023-99-2,x,x,1,3,x,4,2,1,4,x,x,x,x,x,1,1,3
Pink,— · — · ground,x,x,2,4,1,x,2,2,4,x,x,x,4,x,1,1,2
Piperidine,C 5 H 11 N · 000110-89-4,x,x,3,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Plasticiser,— · —,1,1,2,3,x,x,2,1,x,x,x,x,3,x,1,1,x
Polish remover,— · —,x,x,2,4,x,4,2,1,4,x,x,x,x,x,1,1,2
Polyester resins,— · —,3,3,1,4,1,x,2,3,x,x,x,x,x,x,1,1,2
Polyethylene glycol,HO-(C 2 H 4 O) n -H · 025322-68-3 · 100 %,1,1,3,x,x,x,1,1,x,x,x,x,x,x,1,1,2
Polyran M25 N,— · — · 80°C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Polyran M400,— · — · 80°C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Polysolvan O,C H O · 007397-62-8 · 100 %,x,1,2,3,1,x,1,2,x,x,x,x,x,x,1,1,x
Potassium acetate,C H KO · 000127-08-2 · aqueous,1,1,1,1,2,x,1,1,x,x,1,1,x,1,1,1,1
Potassium bisulfate,KHSO 4 · 007646-93-7 · aqueous,1,1,4,1,2,x,2,1,x,x,x,x,x,1,1,1,1
Potassium bisulfate,KHSO 4 · 007646-93-7,1,1,4,1,x,x,2,1,1,x,x,x,1,1,1,1,1
Potassium bitartrate,C H KO · 000868-14-4 · saturated,1,1,2,2,x,x,2,1,x,x,1,1,x,1,1,1,1
Potassium borate,KBO 2 · 012228-88-5 · 10 %,1,1,1,2,2,x,1,1,x,x,1,x,x,1,1,1,1
Potassium borate,KBO 2 · 012228-88-5 · aqueous,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Potassium bromate,KBrO · 007758-01-2 · saturated,1,1,2,1,x,x,2,1,1,x,1,x,1,x,1,1,1
Potassium bromate,KBrO · 007758-01-2 · aqueous,x,x,2,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Potassium bromide,KBr · 007758-02-3 · each,1,1,3,1,1,1,1,1,1,x,1,1,1,x,1,1,1
Potassium carbonate,2 3 · 000584-08-7 · saturated,1,1,1,3,2,1,1,1,1,x,1,1,1,x,1,1,1
